sample_id,composition,gap_expt_ev
1961,K4(ZrSe5)3,1.81
2377,Li5Mn6(BO3)6,0.0
1324,EuBi3,0.0
2827,NaCeS3,2.15
4179,UGaNi,0.0
1465,Ga2SnGeS6,2.04
2806,Na6FeS4,0.0
4572,ZrGaPt,0.0
3627,SnO2,3.6
573,Ca3PbN,0.0
3273,RbInTe3O8,3.9
2480,LiMnP2O7,0.0
4525,Zr(Ni2P)2,0.0
3656,Sr2Li2Nb3O10,0.0
1547,Ge(SeO3)2,5.27
2582,Mg(SnO2)4,0.0
1445,Ga1Sb0.35As0.65,0.68
1851,InFe2CuSe4,0.0
282,Ba3NaIr2O9,0.0
3329,RhSeS,0.7
2329,Li3Ti2(PO4)3,0.0
864,Cr2CuS4,0.0
2504,LiTa3(BiO3)4,3.5
560,Ca2TlCd,0.0
2118,La2Zn(SeO)2,3.4
4058,TlGaTe2,1.8
4146,U2AlCo2,0.0
445,Bi0.2Sb1.8Te3,0.28
2020,KHg,0.0
2335,Li4(FeO2)9,0.0
1322,EuAlO3,0.0
1972,K6Cd4Sn3Se13,2.33
4421,YbSmRh2,0.0
3756,Ta4AlC3,0.0
2600,Mg2SiPt,0.0
920,Cs2DyCu3Te4,1.38
2222,Li2CdSnS4,3.26
4061,TlInGeS4,2.3
1931,K2Sn(AuS2)2,2.75
3025,P2H12N7Cl,0.0
1323,EuB(SbO4)2,3.46
62,Al0.5Ga0.5As1,2.12
887,CrFe2Sb,0.0
1914,K2Mn3S4,0.0
781,Ce6B2(CBr)3,0.0
1392,FeSn,0.0
2264,Li2PmAl,0.0
3048,Pb1Se0.99S0.01,0.26
2670,Mn2CoAs,0.0
